month,state,permit,handgun,long_gun,other,multiple,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,totals
2017-07,Virginia,1139.0,20688.0,13381.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,36183.0
2017-06,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.077642243349034,308.0,5.0,0.0,0.0,88253.00000000001
2017-06,Colorado,4920.0,17781.0,11298.0,1151.0,973.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.891100725401066,3.367295829986474,36459.0
2017-06,Connecticut,8290.0,6203.0,1765.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16504.0
2017-06,District of Columbia,17.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-06,Guam,0.0,125.20000000000005,205.8,8.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1424.8000000000002
2017-06,Hawaii,1082.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-06,Mariana Islands,0.0,125.20000000000005,205.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-06,Nevada,2895.0,4449.0,2337.0,242.0,219.0,0.0,0.0,0.0,5.811140992976701,126.0,0.0,0.0,0.0,10602.0
2017-06,New Jersey,0.0,5022.0,2586.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7790.0
2017-06,Puerto Rico,0.0,1339.0,211.0,32.0,35.0,0.0,2.0,1.0,1.6094379124341003,4.0,0.0,0.0,0.0,1631.0
2017-06,Vermont,0.0,1296.0,973.0,71.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2382.0
2017-06,Virgin Islands,126.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-06,Virginia,728.0,22416.0,12706.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.995732273553991,2.1972245773362196,36838.0
2017-05,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.07073772800249,445.0,10.0,0.0,0.0,88253.00000000001
2017-05,Colorado,5408.0,17085.0,11165.0,1102.0,973.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.891100725401066,3.367295829986474,36008.0
2017-05,Connecticut,8101.0,5951.0,1862.0,222.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16149.0
2017-05,District of Columbia,10.0,125.20000000000005,205.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-05,Guam,0.0,125.20000000000005,205.8,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-05,Hawaii,1114.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1424.8000000000002
2017-05,Mariana Islands,0.0,125.20000000000005,205.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-05,Nevada,2017.0,4630.0,2288.0,242.0,234.0,0.0,1.0,0.0,5.529429087511423,139.0,0.0,0.0,0.0,9803.0
2017-05,New Jersey,0.0,5569.0,2931.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8694.0
2017-05,Puerto Rico,0.0,1279.0,217.0,67.0,31.0,0.0,1.0,0.0,1.3862943611198906,1.0,0.0,0.0,0.0,1600.0
2017-05,Virgin Islands,55.0,125.20000000000005,205.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-05,Virginia,1148.0,21697.0,12181.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,1.6094379124341003,36007.0
2017-04,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.2324480165505225,345.0,5.0,0.0,0.0,88253.00000000001
2017-04,District of Columbia,35.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-04,Guam,0.0,125.20000000000005,205.8,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-04,Hawaii,885.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,1424.8000000000002
2017-04,Mariana Islands,0.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
